24,23,15,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,1,2,3,2,3,2,3,16,16,16,16,16,16,2,3,2,3,2,3,2,3,2,3,2,3,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,16,23,2,3,2,3,2,3,2,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,24,23,16,23,24,23,24,23,24,23,24
23,24,15,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,18,19,18,19,18,19,16,16,16,16,16,16,18,19,18,19,18,19,18,19,18,19,18,19,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,16,24,18,19,18,19,18,19,18,19,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,1,1,1,1,1,1,1,1,1,16,16,16,16,16,24,23,16,16,24,23,24,23,24,23,24,23
24,23,15,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,4,5,4,5,4,5,4,5,4,5,1,2,3,2,3,2,3,16,16,16,16,16,16,2,3,2,3,2,3,2,3,2,3,2,3,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,16,23,2,3,2,3,2,3,2,3,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,23,16,16,24,23,24,23,24,23,24,23,24
23,24,15,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,20,21,20,21,20,21,20,21,20,21,17,18,19,18,19,18,19,16,16,16,16,16,16,18,19,18,19,18,19,18,19,18,19,18,19,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,16,24,18,19,18,19,18,19,18,19,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,1,1,1,1,1,1,1,1,1,16,16,16,16,16,24,16,24,23,24,23,24,23,24,23,24,23
24,23,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,4,5,4,5,4,5,4,5,4,5,1,2,3,2,3,2,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,2,3,2,3,2,3,2,3,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,17,17,17,17,17,17,17,17,17,16,16,16,16,24,16,16,23,24,23,24,23,24,23,24,23,24
23,24,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,20,21,20,21,20,21,20,21,20,21,17,18,19,18,19,18,19,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,18,19,18,19,18,19,18,19,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23
24,23,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,30,30,30,30,30,30,4,5,4,5,4,5,4,5,4,5,1,2,3,2,3,2,3,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,2,3,2,3,2,3,2,3,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24
23,24,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,30,30,30,30,30,30,20,21,20,21,20,21,20,21,20,21,17,18,19,18,19,18,19,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,18,19,18,19,18,19,18,19,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23
24,23,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,2,3,2,3,2,3,2,3,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,16,16,16,16,16,24,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24
23,24,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,18,19,18,19,18,19,18,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
24,23,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,2,3,2,3,2,3,2,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
23,24,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
24,23,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,22,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
23,24,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
24,23,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,23,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,24,23,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,16,16,16,16,16,16,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,23,24,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,23,12,13,13,12,13,12,13,12,13,12,13,12,13,24,23,24,24,23,24,24,23,24,24,23,24,24,23,24,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,16,16,16,16,16,16,16,16,16,16,16,16,10,24,23,23,24,23,23,24,23,23,24,23,23,24,23,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,1,1,1,1,1,1,1,1,16,16,16,16,22,23,13,24,23,24,24,23,24,24,23,24,24,23,24,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,17,17,17,17,17,17,17,17,16,16,16,16,22,15,30,10,24,23,23,24,23,23,24,23,23,24,23,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,1,1,1,1,1,1,1,1,16,16,16,16,22,15,30,11,12,24,24,23,24,24,23,24,24,23,24,24,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,17,17,17,17,17,17,17,17,16,16,16,16,22,15,2,3,30,11,12,12,12,12,12,12,12,12,13,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,1,1,1,1,1,1,1,1,16,16,16,16,22,15,18,19,30,30,30,30,30,30,30,30,30,30,30,10,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,17,17,17,17,17,17,17,17,16,16,16,16,22,15,2,3,2,3,2,3,2,3,2,3,2,3,30,22,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,16,16,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,4,5,4,5,4,5,4,5,16,16,16,16,22,15,18,19,18,19,18,19,18,19,18,19,18,19,30,10,23,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,20,21,20,21,20,21,20,21,16,16,16,16,26,27,16,16,16,16,30,30,30,30,30,30,30,2,3,22,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,16,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,4,5,4,5,16,16,16,16,16,16,16,16,28,29,16,16,16,16,16,30,30,30,30,30,30,18,19,10,23,23,24,23,24,23,24,23,24,23,24,23,24,23,16,16,24,16,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,20,21,20,21,16,16,16,16,16,16,16,16,22,15,1,1,1,1,1,16,30,30,30,30,30,2,3,22,24,24,23,24,23,24,23,24,23,24,23,24,23,16,16,24,23,16,16,16,16,16,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,16,16,16,16,16,16,16,16,16,16,16,16,22,15,17,17,17,17,17,16,16,30,30,30,30,18,19,10,23,23,24,23,24,23,24,23,24,23,24,23,24,16,24,23,24,16,16,16,16,16,16,16,16,2,3,2,3,2,3,2,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,16,16,16,16,16,16,16,16,16,16,16,16,22,15,1,1,1,1,1,1,1,1,1,1,30,30,30,22,24,24,23,24,23,24,23,24,23,24,23,24,16,1,1,1,1,1,1,1,1,1,16,16,16,18,19,18,19,18,19,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,16,16,16,16,16,16,16,16,16,16,16,16,22,15,17,17,17,17,17,17,17,17,17,17,16,16,16,10,23,23,24,23,24,23,24,23,24,23,24,23,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,16,16,16,16,16,16,16,16,16,16,16,16,22,15,1,1,1,1,1,1,1,1,1,1,16,16,16,22,24,24,23,24,23,24,23,24,23,24,23,16,16,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,16,16,16,16,16,16,16,16,16,16,6,7,24,15,17,17,17,17,17,17,17,17,17,17,16,16,16,10,23,23,24,23,24,23,24,23,24,23,24,16,24,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,16,16,16,16,16,16,16,16,16,16,22,24,13,14,16,16,16,16,16,16,16,4,5,4,5,16,16,22,24,24,23,24,23,24,23,24,23,24,23,16,23,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,16,16,16,16,16,16,16,16,16,16,22,15,16,16,16,16,16,16,16,16,16,20,21,20,21,16,16,10,23,23,24,23,24,23,24,23,24,23,24,16,24,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,24,23,24,23,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,15,16,16,16,16,16,16,16,16,16,16,16,22,15,16,16,16,16,16,16,16,2,3,4,5,4,5,16,16,22,24,24,23,24,23,24,23,24,23,24,16,16,23,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,24,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23
23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,24,25,16,16,16,16,16,16,16,16,16,16,16,22,15,16,16,16,16,16,16,16,18,19,20,21,20,21,16,16,10,23,23,24,23,24,23,24,23,24,23,16,23,24,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,23,16,16,16,16,16,16,16,16,16,16,16,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24
